Time,Temp,Humidity,RawGas,CorrectedGas,AQI,PredictedAQI,AQI_prev1,AQI_prev2,delta_AQI,delta2_AQI
23,36.1,31.1,506,481.5,234,271,226.0,203.0,8.0,-15.0
25,36.0,31.1,468,446.2,205,221,234.0,226.0,-29.0,-37.0
28,36.0,31.2,416,396.3,163,150,205.0,234.0,-42.0,-13.0
30,36.0,31.2,376,358.2,131,110,163.0,205.0,-32.0,10.0
32,35.9,31.4,342,326.0,104,87,131.0,163.0,-27.0,5.0
34,35.9,31.4,294,280.2,66,45,104.0,131.0,-38.0,-11.0
36,35.9,31.4,259,246.9,38,10,66.0,104.0,-28.0,10.0
38,35.9,31.4,237,225.9,20,0,38.0,66.0,-18.0,10.0
40,35.9,31.4,225,214.4,11,0,20.0,38.0,-9.0,9.0
50,35.9,31.4,247,235.4,29,36,11.0,20.0,18.0,27.0
53,35.8,32.0,286,271.9,59,86,29.0,11.0,30.0,12.0
55,35.4,32.2,315,301.3,84,113,59.0,29.0,25.0,-5.0
57,35.0,32.4,335,322.4,101,127,84.0,59.0,17.0,-8.0
59,34.6,32.4,351,340.4,116,138,101.0,84.0,15.0,-2.0
61,34.4,32.2,363,353.9,127,149,116.0,101.0,11.0,-4.0
64,34.3,32.1,374,365.7,137,157,127.0,116.0,10.0,-1.0
66,34.3,32.0,383,374.8,145,165,137.0,127.0,8.0,-2.0
68,34.3,32.0,391,382.6,151,170,145.0,137.0,6.0,-2.0
70,34.3,32.0,397,388.5,156,174,151.0,145.0,5.0,-1.0
73,34.4,32.0,354,345.7,120,124,156.0,151.0,-36.0,-41.0
75,34.4,32.1,317,309.3,90,68,120.0,156.0,-30.0,6.0
77,34.5,32.1,291,283.4,69,51,90.0,120.0,-21.0,9.0
79,34.6,32.2,272,264.2,53,39,69.0,90.0,-16.0,5.0
81,34.6,32.2,258,250.6,41,30,53.0,69.0,-12.0,4.0
83,34.7,32.2,248,240.4,33,24,41.0,53.0,-8.0,4.0
85,34.7,32.2,239,231.7,25,18,33.0,41.0,-8.0,0.0
87,34.8,32.2,232,224.5,20,13,25.0,33.0,-5.0,3.0
89,34.8,32.2,226,218.7,15,9,20.0,25.0,-5.0,0.0
91,34.9,32.2,221,213.4,10,4,15.0,20.0,-5.0,0.0
93,34.9,32.2,217,209.5,7,1,10.0,15.0,-3.0,2.0
99,35.1,32.0,227,218.7,15,15,7.0,10.0,8.0,11.0
101,35.1,32.2,261,251.1,42,58,15.0,7.0,27.0,19.0
103,35.1,32.2,282,271.3,59,82,42.0,15.0,17.0,-10.0
105,35.1,32.1,297,285.9,70,87,59.0,42.0,11.0,-6.0
107,35.1,32.1,309,297.5,80,94,70.0,59.0,10.0,-1.0
109,35.1,32.2,318,305.9,87,100,80.0,70.0,7.0,-3.0
111,35.1,32.2,326,313.6,94,106,87.0,80.0,7.0,0.0
114,35.1,32.2,332,319.4,99,111,94.0,87.0,5.0,-2.0
116,35.2,32.1,338,324.8,103,115,99.0,94.0,4.0,-1.0
118,35.2,32.1,343,329.6,107,118,103.0,99.0,4.0,0.0
120,35.2,32.1,326,313.2,94,100,107.0,103.0,-13.0,-17.0
122,35.2,32.1,292,280.6,66,55,94.0,107.0,-28.0,-15.0
124,35.2,32.1,273,262.3,51,33,66.0,94.0,-15.0,13.0
126,35.3,32.1,259,248.4,40,30,51.0,66.0,-11.0,4.0
128,35.3,32.1,248,237.8,30,21,40.0,51.0,-10.0,1.0
130,35.3,32.1,239,229.2,24,16,30.0,40.0,-6.0,4.0
132,35.3,32.1,233,223.4,19,13,24.0,30.0,-5.0,1.0
134,35.4,32.1,227,217.3,14,8,19.0,24.0,-5.0,0.0
136,35.4,32.1,222,212.5,10,4,14.0,19.0,-4.0,1.0
138,35.4,32.1,218,208.7,6,0,10.0,14.0,-4.0,0.0
153,35.6,32.1,251,239.3,32,40,6.0,10.0,26.0,30.0
155,35.6,32.3,296,281.8,67,98,32.0,6.0,35.0,9.0
157,35.6,32.2,336,320.1,100,135,67.0,32.0,33.0,-2.0
159,35.6,32.2,364,346.8,121,155,100.0,67.0,21.0,-12.0
161,35.6,32.2,381,363.0,135,162,121.0,100.0,14.0,-7.0
164,35.7,32.1,394,375.0,145,168,135.0,121.0,10.0,-4.0
166,35.7,32.1,405,385.4,154,175,145.0,135.0,9.0,-1.0
168,35.7,32.1,412,392.1,160,180,154.0,145.0,6.0,-3.0
170,35.7,32.1,418,397.8,164,183,160.0,154.0,4.0,-2.0
173,35.7,32.1,424,403.5,169,187,164.0,160.0,5.0,1.0
175,35.7,32.1,378,359.7,132,137,169.0,164.0,-37.0,-42.0
177,35.7,32.1,335,318.8,98,76,132.0,169.0,-34.0,3.0
179,35.7,32.1,296,281.7,67,44,98.0,132.0,-31.0,3.0
181,35.7,32.1,270,256.9,46,25,67.0,98.0,-21.0,10.0
183,35.8,32.1,253,240.3,33,18,46.0,67.0,-13.0,8.0
185,35.8,32.1,242,229.9,24,14,33.0,46.0,-9.0,4.0
187,35.8,32.1,232,220.4,16,7,24.0,33.0,-8.0,1.0
189,35.8,32.1,226,214.7,11,3,16.0,24.0,-5.0,3.0
191,35.8,32.1,220,209.0,6,0,11.0,16.0,-5.0,0.0
212,35.9,32.1,232,219.9,15,17,6.0,11.0,9.0,14.0
214,35.8,33.3,277,260.7,50,69,15.0,6.0,35.0,26.0
216,35.7,33.1,309,291.8,75,106,50.0,15.0,25.0,-10.0
218,35.6,32.8,333,315.8,95,121,75.0,50.0,20.0,-5.0
220,35.6,32.7,354,336.0,112,136,95.0,75.0,17.0,-3.0
222,35.5,32.7,370,351.8,125,148,112.0,95.0,13.0,-4.0
225,35.5,32.6,383,364.5,136,157,125.0,112.0,11.0,-2.0
227,35.4,32.6,452,431.0,191,228,136.0,125.0,55.0,44.0
229,35.4,32.6,521,496.8,246,314,191.0,136.0,55.0,0.0
231,35.4,32.7,590,562.1,301,375,246.0,191.0,55.0,0.0
233,35.3,32.8,620,591.4,325,394,301.0,246.0,24.0,-31.0
235,35.3,33.0,645,614.3,345,397,325.0,301.0,20.0,-4.0
237,35.3,33.0,682,649.5,374,429,345.0,325.0,29.0,9.0
239,35.3,33.0,727,692.4,410,476,374.0,345.0,36.0,7.0
260,35.2,33.3,781,743.5,452,481,410.0,374.0,42.0,6.0
262,35.2,33.2,761,725.0,437,467,452.0,410.0,-15.0,-57.0
264,35.3,33.1,738,702.3,418,446,437.0,452.0,-19.0,-4.0
266,35.3,33.1,720,685.2,404,429,418.0,437.0,-14.0,5.0
268,35.3,33.2,701,666.6,388,414,404.0,418.0,-16.0,-2.0
270,35.3,33.1,693,659.5,382,409,388.0,404.0,-6.0,10.0
272,35.3,33.2,658,625.7,354,378,382.0,388.0,-28.0,-22.0
274,35.4,33.1,609,578.5,315,320,354.0,382.0,-39.0,-11.0
276,35.3,33.3,567,538.8,281,277,315.0,354.0,-34.0,5.0
279,35.4,33.3,543,515.0,261,261,281.0,315.0,-20.0,14.0
281,35.4,33.3,526,498.9,248,256,261.0,281.0,-13.0,7.0
283,35.4,33.1,514,488.2,240,253,248.0,261.0,-8.0,5.0
285,35.5,33.0,503,477.2,230,244,240.0,248.0,-10.0,-2.0
288,35.5,33.0,491,465.8,220,232,230.0,240.0,-10.0,0.0
290,35.5,32.8,478,454.2,211,222,220.0,230.0,-9.0,1.0
292,35.5,32.9,461,437.7,197,206,211.0,220.0,-14.0,-5.0
294,35.5,32.8,440,418.1,181,185,197.0,211.0,-16.0,-2.0
297,35.6,32.7,445,422.4,185,193,181.0,197.0,4.0,20.0
299,35.6,32.7,449,426.2,188,208,185.0,181.0,3.0,-1.0
301,35.6,32.6,452,429.3,190,209,188.0,185.0,2.0,-1.0
303,35.6,32.6,438,416.0,180,195,190.0,188.0,-10.0,-12.0
306,35.6,32.6,428,406.5,171,178,180.0,190.0,-9.0,1.0
308,35.6,32.6,422,400.8,166,174,171.0,180.0,-5.0,4.0
310,35.7,32.6,408,386.8,155,163,166.0,171.0,-11.0,-6.0
312,35.7,32.6,401,380.2,150,155,155.0,166.0,-5.0,6.0
315,35.7,32.5,400,379.5,149,158,150.0,155.0,-1.0,4.0
317,35.7,32.5,415,393.7,160,176,149.0,150.0,11.0,12.0
319,35.7,32.5,405,384.3,153,171,160.0,149.0,-7.0,-18.0
321,35.8,32.5,392,371.2,142,147,153.0,160.0,-11.0,-4.0
324,35.8,32.5,395,374.1,145,152,142.0,153.0,3.0,14.0
326,35.8,32.5,412,390.2,158,176,145.0,142.0,13.0,10.0
328,35.8,32.5,420,397.7,164,187,158.0,145.0,6.0,-7.0
330,35.8,32.4,418,396.1,163,180,164.0,158.0,-1.0,-7.0
333,35.8,32.4,424,401.8,167,182,163.0,164.0,4.0,5.0
335,35.9,32.4,427,403.9,169,186,167.0,163.0,2.0,-2.0
337,35.9,32.4,438,414.3,178,197,169.0,167.0,9.0,7.0
339,35.9,32.4,438,414.3,178,199,178.0,169.0,0.0,-9.0
342,35.9,32.3,457,432.6,193,214,178.0,178.0,15.0,15.0
344,35.9,32.3,476,450.6,208,239,193.0,178.0,15.0,0.0
346,36.0,32.2,483,456.7,213,242,208.0,193.0,5.0,-10.0
348,36.0,32.2,482,455.7,212,234,213.0,208.0,-1.0,-6.0
351,36.0,32.2,482,455.7,212,231,212.0,213.0,0.0,1.0
353,36.0,32.2,482,455.7,212,231,212.0,212.0,0.0,0.0
355,36.0,32.1,484,458.0,214,234,212.0,212.0,2.0,2.0
357,36.1,32.1,488,460.9,216,237,214.0,212.0,2.0,0.0
360,36.1,32.1,491,463.7,219,241,216.0,214.0,3.0,1.0
362,36.1,32.1,491,463.7,219,241,219.0,216.0,0.0,-3.0
364,36.1,32.1,483,456.2,213,231,219.0,219.0,-6.0,-6.0
366,36.1,32.0,477,450.9,208,222,213.0,219.0,-5.0,1.0
369,36.1,32.0,475,449.0,206,221,208.0,213.0,-2.0,3.0
371,36.1,32.0,467,441.4,200,215,206.0,208.0,-6.0,-4.0
373,36.2,32.0,463,436.8,196,209,200.0,206.0,-4.0,2.0
375,36.2,32.0,468,441.5,200,217,196.0,200.0,4.0,8.0
378,36.2,32.0,474,447.2,205,227,200.0,196.0,5.0,1.0
380,36.2,32.0,478,450.9,208,230,205.0,200.0,3.0,-2.0
382,36.2,32.0,483,455.7,212,234,208.0,205.0,4.0,1.0
384,36.2,32.0,486,458.5,215,238,212.0,208.0,3.0,-1.0
387,36.2,32.0,492,464.2,220,243,215.0,212.0,5.0,2.0
389,36.2,32.0,497,468.9,223,247,220.0,215.0,3.0,-2.0
391,36.2,32.0,496,467.9,222,244,223.0,220.0,-1.0,-4.0
393,36.2,31.9,503,474.9,228,250,222.0,223.0,6.0,7.0
396,36.2,31.9,508,479.6,232,258,228.0,222.0,4.0,-2.0
398,36.2,31.9,511,482.4,235,260,232.0,228.0,3.0,-1.0
400,36.2,31.9,514,485.3,237,261,235.0,232.0,2.0,-1.0
402,36.2,31.9,508,479.6,232,253,237.0,235.0,-5.0,-7.0
405,36.2,31.9,495,467.3,222,237,232.0,237.0,-10.0,-5.0
407,36.2,31.9,487,459.8,215,227,222.0,232.0,-7.0,3.0
409,36.2,31.9,483,456.0,213,228,215.0,222.0,-2.0,5.0
411,36.2,31.9,475,448.5,206,222,213.0,215.0,-7.0,-5.0
414,36.3,31.9,474,446.7,205,219,206.0,213.0,-1.0,6.0
416,36.3,31.9,470,442.9,201,218,205.0,206.0,-4.0,-3.0
418,36.3,31.9,467,440.1,200,215,201.0,205.0,-1.0,3.0
420,36.3,31.9,459,432.5,193,208,200.0,201.0,-7.0,-6.0
423,36.3,31.9,455,428.8,190,202,193.0,200.0,-3.0,4.0
425,36.3,31.9,451,425.0,186,200,190.0,193.0,-4.0,-1.0
427,36.3,31.9,453,426.9,188,203,186.0,190.0,2.0,6.0
429,36.3,31.9,453,426.9,188,206,188.0,186.0,0.0,-2.0
432,36.3,31.9,458,431.6,192,210,188.0,188.0,4.0,4.0
434,36.3,31.9,462,435.4,195,216,192.0,188.0,3.0,-1.0
436,36.3,31.9,459,432.5,193,211,195.0,192.0,-2.0,-5.0
438,36.3,31.9,456,429.7,190,205,193.0,195.0,-3.0,-1.0
441,36.3,31.8,457,431.0,191,207,190.0,193.0,1.0,4.0
443,36.3,31.8,460,433.8,194,213,191.0,190.0,3.0,2.0
445,36.3,31.8,463,436.6,196,216,194.0,191.0,2.0,-1.0
447,36.3,31.8,468,441.3,200,220,196.0,194.0,4.0,2.0
450,36.3,31.8,470,443.2,202,223,200.0,196.0,2.0,-2.0
452,36.3,31.8,466,439.5,199,217,202.0,200.0,-3.0,-5.0
454,36.3,31.8,457,431.0,191,204,199.0,202.0,-8.0,-5.0
456,36.3,31.8,451,425.3,187,198,191.0,199.0,-4.0,4.0
459,36.4,31.8,452,425.5,187,201,187.0,191.0,0.0,4.0
461,36.4,31.8,453,426.4,188,205,187.0,187.0,1.0,1.0
463,36.4,31.8,456,429.2,190,208,188.0,187.0,2.0,1.0
465,36.4,31.8,459,432.0,193,212,190.0,188.0,3.0,1.0
468,36.4,31.8,460,433.0,193,212,193.0,190.0,0.0,-3.0
470,36.4,31.8,463,435.8,195,213,193.0,193.0,2.0,2.0
472,36.4,31.8,462,434.9,195,214,195.0,193.0,0.0,-2.0
474,36.4,31.7,467,439.9,199,218,195.0,195.0,4.0,4.0
477,36.4,31.7,466,439.0,198,218,199.0,195.0,-1.0,-5.0
479,36.4,31.7,464,437.1,197,214,198.0,199.0,-1.0,0.0
481,36.4,31.7,463,436.1,196,213,197.0,198.0,-1.0,0.0
483,36.4,31.7,465,438.0,198,216,196.0,197.0,2.0,3.0
486,36.4,31.7,458,431.4,192,209,198.0,196.0,-6.0,-8.0
488,36.4,31.7,452,425.8,187,199,192.0,198.0,-5.0,1.0
490,36.4,31.7,445,419.2,182,194,187.0,192.0,-5.0,0.0
492,36.4,31.7,441,415.4,179,191,182.0,187.0,-3.0,2.0
495,36.4,31.7,441,415.4,179,193,179.0,182.0,0.0,3.0
497,36.4,31.7,439,413.5,177,192,179.0,179.0,-2.0,-2.0
499,36.4,31.7,445,419.2,182,198,177.0,179.0,5.0,7.0
501,36.4,31.7,449,422.9,185,205,182.0,177.0,3.0,-2.0
504,36.4,31.7,449,422.9,185,203,185.0,182.0,0.0,-3.0
506,36.4,31.7,444,418.2,181,196,185.0,185.0,-4.0,-4.0
508,36.4,31.7,445,419.2,182,196,181.0,185.0,1.0,5.0
510,36.4,31.7,445,419.2,182,199,182.0,181.0,0.0,-1.0
513,36.4,31.7,446,420.1,183,199,182.0,182.0,1.0,1.0
515,36.4,31.7,441,415.4,179,194,183.0,182.0,-4.0,-5.0
517,36.4,31.7,440,414.5,178,191,179.0,183.0,-1.0,3.0
519,36.4,31.7,438,412.6,176,190,178.0,179.0,-2.0,-1.0
522,36.4,31.7,437,411.6,175,189,176.0,178.0,-1.0,1.0
524,36.4,31.7,435,409.8,174,188,175.0,176.0,-1.0,0.0
526,36.4,31.7,435,409.8,174,189,174.0,175.0,0.0,1.0
528,36.4,31.7,431,406.0,170,184,174.0,174.0,-4.0,-4.0
531,36.4,31.7,426,401.3,167,178,170.0,174.0,-3.0,1.0
533,36.4,31.7,424,399.4,165,177,167.0,170.0,-2.0,1.0
535,36.5,31.7,420,394.9,161,173,165.0,167.0,-4.0,-2.0
537,36.5,31.7,419,393.9,160,171,161.0,165.0,-1.0,3.0
540,36.5,31.7,418,393.0,160,173,160.0,161.0,0.0,1.0
542,36.5,31.7,411,386.4,155,167,160.0,160.0,-5.0,-5.0
544,36.5,31.7,402,378.0,147,155,155.0,160.0,-8.0,-3.0
546,36.5,31.7,395,371.4,142,148,147.0,155.0,-5.0,3.0
549,36.5,31.7,384,361.0,134,140,142.0,147.0,-8.0,-3.0
551,36.5,31.7,377,354.5,128,132,134.0,142.0,-6.0,2.0
553,36.5,31.7,370,347.9,122,127,128.0,134.0,-6.0,0.0
555,36.5,31.7,362,340.4,116,120,122.0,128.0,-6.0,0.0
558,36.5,31.7,353,331.9,109,112,116.0,122.0,-7.0,-1.0
560,36.5,31.7,343,322.5,101,103,109.0,116.0,-8.0,-1.0
562,36.5,31.7,333,313.1,94,94,101.0,109.0,-7.0,1.0
564,36.5,31.7,323,303.7,85,85,94.0,101.0,-9.0,-2.0
566,36.5,31.7,316,297.1,80,79,85.0,94.0,-5.0,4.0
568,36.5,31.7,309,290.5,75,76,80.0,85.0,-5.0,0.0
570,36.5,31.7,303,284.9,70,70,75.0,80.0,-5.0,0.0
572,36.5,31.7,298,280.2,66,66,70.0,75.0,-4.0,1.0
574,36.5,31.7,293,275.5,62,62,66.0,70.0,-4.0,0.0
576,36.5,31.7,290,272.7,60,60,62.0,66.0,-2.0,2.0
578,36.5,31.7,286,268.9,56,57,60.0,62.0,-4.0,-2.0
580,36.5,31.7,282,265.1,54,54,56.0,60.0,-2.0,2.0
582,36.5,31.7,279,262.3,51,51,54.0,56.0,-3.0,-1.0
584,36.5,31.7,276,259.5,49,49,51.0,54.0,-2.0,1.0
587,36.5,31.7,274,257.6,47,47,49.0,51.0,-2.0,0.0
589,36.5,31.7,274,257.6,47,48,47.0,49.0,0.0,2.0
591,36.5,31.7,273,256.7,46,47,47.0,47.0,-1.0,-1.0
593,36.5,31.7,270,253.9,44,44,46.0,47.0,-2.0,-1.0
595,36.5,31.7,269,252.9,43,43,44.0,46.0,-1.0,1.0
597,36.5,31.7,267,251.0,42,42,43.0,44.0,-1.0,0.0
599,36.5,31.7,265,249.2,40,40,42.0,43.0,-2.0,-1.0
601,36.5,31.7,264,248.2,40,40,40.0,42.0,0.0,2.0
603,36.5,31.7,261,245.4,37,37,40.0,40.0,-3.0,-3.0
605,36.5,31.7,261,245.4,37,36,37.0,40.0,0.0,3.0
607,36.5,31.7,261,245.4,37,38,37.0,37.0,0.0,0.0
609,36.5,31.7,258,242.6,35,35,37.0,37.0,-2.0,-2.0
611,36.5,31.7,257,241.6,34,33,35.0,37.0,-1.0,1.0
613,36.5,31.7,257,241.6,34,34,34.0,35.0,0.0,1.0
615,36.5,31.7,255,239.8,32,32,34.0,34.0,-2.0,-2.0
617,36.5,31.7,254,238.8,31,30,32.0,34.0,-1.0,1.0
619,36.5,31.7,252,236.9,30,29,31.0,32.0,-1.0,0.0
621,36.5,31.7,251,236.0,29,28,30.0,31.0,-1.0,0.0
623,36.5,31.7,251,236.0,29,28,29.0,30.0,0.0,1.0
625,36.5,31.7,249,234.1,28,27,29.0,29.0,-1.0,-1.0
627,36.5,31.7,247,232.2,26,24,28.0,29.0,-2.0,-1.0
630,36.5,31.7,247,232.2,26,24,26.0,28.0,0.0,2.0
632,36.5,31.7,245,230.3,25,24,26.0,26.0,-1.0,-1.0
634,36.5,31.7,243,228.5,23,21,25.0,26.0,-2.0,-1.0
636,36.5,31.7,241,226.6,21,18,23.0,25.0,-2.0,0.0
638,36.5,31.7,240,225.6,20,17,21.0,23.0,-1.0,1.0
640,36.5,31.7,240,225.6,20,18,20.0,21.0,0.0,1.0
642,36.6,31.7,238,223.3,19,18,20.0,20.0,-1.0,-1.0
644,36.5,31.7,237,222.8,18,16,19.0,20.0,-1.0,0.0
646,36.5,31.7,236,221.9,17,15,18.0,19.0,-1.0,0.0
648,36.5,31.7,235,220.9,16,14,17.0,18.0,-1.0,0.0
650,36.5,31.7,234,220.0,16,14,16.0,17.0,0.0,1.0
652,36.5,31.7,233,219.1,15,13,16.0,16.0,-1.0,-1.0
654,36.5,31.7,231,217.2,14,11,15.0,16.0,-1.0,0.0
656,36.5,31.7,230,216.2,13,10,14.0,15.0,-1.0,0.0
658,36.5,31.7,228,214.4,11,8,13.0,14.0,-2.0,-1.0
660,36.5,31.7,227,213.4,10,6,11.0,13.0,-1.0,1.0
662,36.5,31.7,226,212.5,10,7,10.0,11.0,0.0,1.0
664,36.5,31.7,225,211.5,9,6,10.0,10.0,-1.0,-1.0
666,36.5,31.7,224,210.6,8,5,9.0,10.0,-1.0,0.0
668,36.5,31.7,223,209.7,7,4,8.0,9.0,-1.0,0.0
670,36.5,31.7,222,208.7,6,3,7.0,8.0,-1.0,0.0
672,36.5,31.7,222,208.7,6,3,6.0,7.0,0.0,1.0
675,36.5,31.7,222,208.7,6,3,6.0,6.0,0.0,0.0
677,36.5,31.7,223,209.7,7,5,6.0,6.0,1.0,1.0
679,36.5,31.7,222,208.7,6,4,7.0,6.0,-1.0,-2.0
12,31.9,26.2,210,226.4,21,28,6.0,7.0,15.0,16.0
14,32.0,25.7,276,298.2,81,116,21.0,6.0,60.0,45.0
16,32.0,25.0,316,343.5,119,154,81.0,21.0,38.0,-22.0
18,32.1,24.4,344,375.1,145,173,119.0,81.0,26.0,-12.0
21,32.2,24.0,374,408.3,173,202,145.0,119.0,28.0,2.0
23,32.3,23.7,370,404.1,170,185,173.0,145.0,-3.0,-31.0
25,32.4,23.2,365,399.5,165,173,170.0,173.0,-5.0,-2.0
27,32.5,22.9,361,395.3,162,170,165.0,170.0,-3.0,2.0
30,32.6,22.4,348,381.9,150,153,162.0,165.0,-12.0,-9.0
32,32.7,22.1,343,376.6,146,151,150.0,162.0,-4.0,8.0
34,32.8,21.8,339,372.4,143,150,146.0,150.0,-3.0,1.0
36,32.9,21.6,303,332.7,110,100,143.0,146.0,-33.0,-30.0
38,33.0,21.2,291,319.9,99,93,110.0,143.0,-11.0,22.0
40,33.1,21.0,292,320.9,100,103,99.0,110.0,1.0,12.0
43,33.2,20.9,284,311.7,92,93,100.0,99.0,-8.0,-9.0
45,33.3,20.7,280,307.2,89,90,92.0,100.0,-3.0,5.0
47,33.3,20.6,271,297.5,80,78,89.0,92.0,-9.0,-6.0
49,33.4,20.4,264,289.7,74,72,80.0,89.0,-6.0,3.0
51,33.5,20.3,266,291.5,75,77,74.0,80.0,1.0,7.0
53,33.6,20.1,257,281.6,67,65,75.0,74.0,-8.0,-9.0
55,33.6,20.0,250,274.1,61,58,67.0,75.0,-6.0,2.0
57,33.7,19.8,244,267.4,55,52,61.0,67.0,-6.0,0.0
59,33.8,19.4,238,261.2,50,47,55.0,61.0,-5.0,1.0
61,33.9,19.1,233,255.8,45,41,50.0,55.0,-5.0,0.0
63,34.0,18.7,234,257.3,47,47,45.0,50.0,2.0,7.0
65,34.0,18.5,228,251.1,42,39,47.0,45.0,-5.0,-7.0
67,34.0,18.0,229,253.3,44,44,42.0,47.0,2.0,7.0
69,34.0,17.8,226,250.4,41,39,44.0,42.0,-3.0,-5.0
71,34.1,17.5,220,243.9,35,30,41.0,44.0,-6.0,-3.0
73,34.1,17.1,216,240.3,33,29,35.0,41.0,-2.0,4.0
75,34.3,16.7,211,234.5,28,23,33.0,35.0,-5.0,-3.0
77,34.3,16.4,205,228.5,23,17,28.0,33.0,-5.0,0.0
79,34.3,16.1,200,223.5,19,13,23.0,28.0,-4.0,1.0
81,34.4,15.8,195,218.0,15,9,19.0,23.0,-4.0,0.0
83,34.4,15.7,189,211.5,9,2,15.0,19.0,-6.0,-2.0
94,34.7,15.3,225,251.0,42,61,9.0,15.0,33.0,39.0
96,34.7,16.5,274,302.4,85,116,42.0,9.0,43.0,10.0
98,34.6,17.3,302,331.7,109,133,85.0,42.0,24.0,-19.0
100,34.6,17.3,318,349.3,124,142,109.0,85.0,15.0,-9.0
102,34.5,16.5,331,367.0,138,156,124.0,109.0,14.0,-1.0
105,34.5,16.1,331,368.3,140,152,138.0,124.0,2.0,-12.0
107,34.5,15.7,328,366.2,138,146,140.0,138.0,-2.0,-4.0
109,34.5,15.6,327,365.4,137,144,138.0,140.0,-1.0,1.0
111,34.5,15.4,325,363.9,135,142,137.0,138.0,-2.0,-1.0
114,34.5,15.4,322,360.5,133,140,135.0,137.0,-2.0,0.0
116,34.5,15.3,266,298.1,81,59,133.0,135.0,-52.0,-50.0
118,34.5,15.0,235,264.0,53,31,81.0,133.0,-28.0,24.0
120,34.5,15.7,257,287.0,71,77,53.0,81.0,18.0,46.0
122,34.4,21.5,269,286.2,71,77,71.0,53.0,0.0,-18.0
124,34.3,22.1,270,286.4,71,74,71.0,71.0,0.0,0.0
126,34.2,21.6,280,298.9,81,89,71.0,71.0,10.0,10.0
128,34.1,20.9,283,304.6,86,94,81.0,71.0,5.0,-5.0
130,34.0,20.5,285,308.4,90,97,86.0,81.0,4.0,-1.0
132,34.0,20.3,285,309.0,90,95,90.0,86.0,0.0,-4.0
134,34.0,20.2,286,310.3,91,96,90.0,90.0,1.0,1.0
136,34.0,20.0,287,312.0,92,97,91.0,90.0,1.0,0.0
138,33.9,19.8,264,288.1,73,67,92.0,91.0,-19.0,-20.0
140,33.9,19.5,207,226.5,21,0,73.0,92.0,-52.0,-33.0
157,41.0,9.4,206,211.2,9,11,21.0,73.0,-12.0,40.0
159,41.0,8.4,229,236.8,30,41,9.0,21.0,21.0,33.0
161,41.1,7.7,245,254.3,45,57,30.0,9.0,15.0,-6.0
163,41.2,7.3,257,267.0,55,64,45.0,30.0,10.0,-5.0
165,41.2,6.6,266,278.0,65,74,55.0,45.0,10.0,0.0
167,41.2,6.0,273,286.8,71,79,65.0,55.0,6.0,-4.0
169,41.2,5.7,278,292.8,76,83,71.0,65.0,5.0,-1.0
171,41.1,5.5,280,296.0,79,85,76.0,71.0,3.0,-2.0
173,41.1,5.4,282,298.3,81,87,79.0,76.0,2.0,-1.0
175,41.0,5.3,236,250.4,41,23,81.0,79.0,-40.0,-42.0
177,41.0,5.0,207,220.2,16,0,41.0,81.0,-25.0,15.0
212,39.3,5.5,216,237.4,30,43,16.0,41.0,14.0,39.0
214,39.1,5.4,295,325.9,104,150,30.0,16.0,74.0,60.0
216,38.9,5.7,375,415.0,179,240,104.0,30.0,75.0,1.0
219,38.5,6.1,455,506.2,255,323,179.0,104.0,76.0,1.0
221,38.3,6.2,535,597.4,330,405,255.0,179.0,75.0,-1.0
223,38.0,6.5,615,689.5,407,490,330.0,255.0,77.0,2.0
264,36.1,11.3,682,764.2,470,496,407.0,330.0,63.0,-14.0
266,36.1,11.1,649,728.6,440,458,470.0,407.0,-30.0,-93.0
268,36.1,11.0,617,693.3,410,425,440.0,470.0,-30.0,0.0
270,36.1,11.0,590,662.9,385,400,410.0,440.0,-25.0,5.0
272,36.1,10.9,563,633.2,360,373,385.0,410.0,-25.0,0.0
274,36.1,10.6,537,605.5,337,349,360.0,385.0,-23.0,2.0
276,36.0,10.5,510,576.9,313,323,337.0,360.0,-24.0,-1.0
278,36.0,10.5,503,569.0,307,324,313.0,337.0,-6.0,18.0
280,36.0,10.5,492,556.6,296,313,307.0,313.0,-11.0,-5.0
283,36.0,10.5,476,538.5,281,294,296.0,307.0,-15.0,-4.0
285,36.0,10.5,468,529.4,274,289,281.0,296.0,-7.0,8.0
287,36.0,10.3,463,524.7,270,288,274.0,281.0,-4.0,3.0
289,36.0,10.3,457,517.9,264,281,270.0,274.0,-6.0,-2.0
292,36.0,10.3,447,506.6,255,269,264.0,270.0,-9.0,-3.0
294,36.0,10.2,437,495.7,245,257,255.0,264.0,-10.0,-1.0
296,36.0,10.1,430,488.2,240,254,245.0,255.0,-5.0,5.0
298,36.0,10.0,430,488.6,240,257,240.0,245.0,0.0,5.0
301,36.0,10.0,421,478.4,231,244,240.0,240.0,-9.0,-9.0
303,36.0,10.0,414,470.5,225,237,231.0,240.0,-6.0,3.0
305,36.0,10.0,417,473.9,227,244,225.0,231.0,2.0,8.0
307,36.0,10.0,416,472.7,226,242,227.0,225.0,-1.0,-3.0
310,36.0,10.0,409,464.8,220,233,226.0,227.0,-6.0,-5.0
312,36.0,10.0,408,463.6,219,233,220.0,226.0,-1.0,5.0
314,36.0,10.0,411,467.0,222,239,219.0,220.0,3.0,4.0
316,36.0,10.0,405,460.2,216,229,222.0,219.0,-6.0,-9.0
